brakepoint,steeringpoint,accelerationpoint,start,end
(244.4801/264.9743/0.0703),(243.6836/330.0620/0.0859),(199.6708/385.3791/0.1046),0.0001336,0.1339501
(139.5808/158.5808/0.1651),(132.3173/140.8547/0.1685),(108.5832/131.3220/0.1819),0.1500509,0.1836307
(192.8708/34.6560/0.2015),(205.1127/23.7676/0.2502),(206.5332/-26.4194/0.2178),0.1890816,0.2254632
(x.x-x.x),(x.x-x.x),(x.x-x.x),0.25000000,0.2900000
(x.x-x.x),(x.x-x.x),(x.x-x.x),0.300000,0.35000000
(-411.0292/292.7253/0.3912),(-433.1139/300.0623/0.3968),(-526.1667/277.4968/0.4193),0.3735900,0.4470543
(-542.2745/21.9791/0.4851),(-540.0745/-2.0317/0.4907),(-515.4884/-39.3061/0.5012),0.4478685,0.5070832
(-338.5353/-61.6197/0.5457),(-334.1134/-59.8075/0.5467),(-322.0384/-23.2322/0.5558),0.5089919,0.5713803
(-438.6044/80.3573/0.5953),(-441.9296/83.6523/0.5964),(-447.3461/151.4140/0.6131),0.5806061,0.6422125
(-47.8791/-30.9333/0.7254),(-6.4605/-76.3307/0.7401),(25.4993/-89.5180/0.7483),0.7095232,0.7534976
(55.9109/-82.3222/0.7558),(58.2275/-80.8599/0.7565),(91.6995/-86.5501/0.7652),0.7539976,0.7791950
(-10.9268/-306.2421/0.8261),(-14.1827/-311.8266/0.8276),(-23.8139/-372.968/0.8427),0.8006979,0.8643217
(x.x-x.x),(97.5061/-448.078/0.8783),(x.x-x.x),0.8772998,0.9477344
